MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
1.725,52.0,0.09800450595429674,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,1.139
2.1806,52.0,0.09988165680473374,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27,0.997
2.6,52.0,0.1013488880787459,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,1.326
2.4038,41.0,0.10965361754457881,1.0336134453781514,317.0,2.6638655462184877,37.85,-122.28,1.075
2.4597,49.0,0.09649047903680302,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28,0.938
1.808,52.0,0.09193954659949624,1.0604534005037782,1102.0,2.7758186397984885,37.85,-122.28,1.055
1.6424,50.0,0.0880338266384778,1.040169133192389,1131.0,2.3911205073995774,37.84,-122.28,1.089
1.6875,52.0,0.09044665012406948,1.032258064516129,395.0,2.548387096774193,37.84,-122.28,1.32
1.9274,49.0,0.10344455242414426,1.1825396825396826,863.0,2.2830687830687832,37.84,-122.28,1.223
1.9615,52.0,0.09388627245770104,1.090702947845805,1168.0,2.6485260770975056,37.84,-122.28,1.152
1.7969,48.0,0.1195273631840796,1.2208955223880598,1026.0,3.062686567164179,37.84,-122.27,1.104
1.375,49.0,0.10266112524036972,1.1124620060790271,754.0,2.291793313069909,37.83,-122.27,1.049
2.7303,51.0,0.09749048873280655,1.0708955223880596,1258.0,2.3470149253731343,37.83,-122.27,1.097
1.4861,49.0,0.09392393320964752,1.068181818181818,570.0,2.159090909090909,37.83,-122.27,0.972
1.0972,48.0,0.1001559714795009,1.1550802139037433,987.0,2.6390374331550803,37.83,-122.27,1.045
1.4103,52.0,0.07210345485779729,0.967741935483871,901.0,2.235732009925558,37.83,-122.28,1.039
3.48,52.0,0.09148618371919343,1.0679611650485437,689.0,2.229773462783172,37.83,-122.26,1.914
2.5898,52.0,0.06719717064544652,1.0272988505747127,1377.0,1.978448275862069,37.83,-122.26,1.76
2.0978,52.0,0.08106134371957158,1.0607594936708862,946.0,2.39493670886076,37.83,-122.26,1.554
1.2852,51.0,0.07370659107016302,1.248995983935743,517.0,2.076305220883534,37.83,-122.26,1.5
1.025,49.0,0.07698952596911782,1.0687830687830688,462.0,2.4444444444444446,37.84,-122.26,1.188
3.9643,52.0,0.09226884226884226,1.02020202020202,467.0,2.3585858585858586,37.84,-122.26,1.888
3.0125,52.0,0.09503424657534246,1.0650684931506849,660.0,2.26027397260274,37.83,-122.26,1.844
2.6768,52.0,0.0833668948852195,1.099476439790576,718.0,1.8795811518324608,37.83,-122.26,1.823
2.026,50.0,0.07401315789473684,1.0592105263157894,616.0,2.026315789473684,37.83,-122.26,1.425
1.7348,43.0,0.09256365474767901,1.233201581027668,558.0,2.205533596837945,37.82,-122.27,1.375
0.9506,40.0,0.0975,1.21875,423.0,2.64375,37.82,-122.26,1.875
1.775,40.0,0.0671875,1.0653409090909092,700.0,1.9886363636363635,37.82,-122.27,1.125
0.9218,21.0,0.0974124809741248,1.0342465753424657,735.0,1.678082191780822,37.82,-122.27,1.719
1.5045,43.0,0.1067367578995486,1.1203931203931203,1061.0,2.6068796068796067,37.82,-122.27,0.938
1.1108,41.0,0.10911246612466126,1.1847222222222222,1959.0,2.720833333333333,37.82,-122.27,0.975
1.2475,52.0,0.07836538461538461,1.14,1162.0,2.905,37.82,-122.27,1.042
1.6098,52.0,0.09656652360515021,1.0085836909871244,701.0,3.0085836909871246,37.82,-122.28,0.875
1.4113,52.0,0.08260489510489512,1.1045454545454545,576.0,2.618181818181818,37.82,-122.28,0.831
1.5057,52.0,0.09192159192159191,1.111969111969112,622.0,2.4015444015444016,37.82,-122.28,0.875
0.8172,52.0,0.11735498108448929,1.3729508196721312,728.0,2.9836065573770494,37.82,-122.28,0.853
1.2171,52.0,0.08774038461538461,1.1217105263157894,1074.0,3.5328947368421053,37.82,-122.28,0.803
2.5625,2.0,1.385964912280702,0.7543859649122807,94.0,1.649122807017544,37.82,-122.29,0.6
3.3929,52.0,0.11528177704648293,1.1283422459893049,554.0,2.962566844919786,37.83,-122.29,0.757
6.1183,49.0,0.11978704525288376,1.2608695652173914,86.0,3.739130434782609,37.82,-122.29,0.75
0.9011,50.0,0.12459016393442622,1.5573770491803278,377.0,3.0901639344262297,37.81,-122.29,0.861
1.191,52.0,0.14804063860667635,1.490566037735849,521.0,3.276729559748428,37.81,-122.3,0.761
2.5938,48.0,0.12969924812030076,1.368421052631579,392.0,2.9473684210526314,37.81,-122.3,0.735
1.1667,52.0,0.10386672151378035,1.1176470588235294,604.0,3.229946524064171,37.81,-122.3,0.784
0.8056,48.0,0.09130271084337349,1.0662650602409638,788.0,2.3734939759036147,37.81,-122.3,0.844
2.6094,52.0,0.13435374149659865,1.6598639455782314,492.0,3.346938775510204,37.8,-122.29,0.813
1.8516,52.0,0.13414634146341464,1.329268292682927,274.0,3.341463414634146,37.81,-122.3,0.85
0.9802,46.0,0.09965843592115563,1.0540098199672667,1823.0,2.983633387888707,37.81,-122.29,1.292
1.7719,26.0,0.23258631132646881,1.1968503937007875,392.0,3.0866141732283463,37.81,-122.29,0.825
0.7286,46.0,0.0733793752943023,1.072202166064982,582.0,2.101083032490975,37.81,-122.29,0.952
1.75,49.0,0.1133190118152524,1.3421052631578947,560.0,3.684210526315789,37.81,-122.29,0.75
0.4999,46.0,0.037267080745341616,0.5714285714285714,18.0,2.571428571428572,37.81,-122.29,0.675
2.483,20.0,0.31390977443609025,1.2105263157894737,290.0,2.180451127819549,37.81,-122.29,1.375
0.9241,17.0,0.16575103845638484,1.0523917995444192,762.0,1.735763097949886,37.81,-122.28,1.775
2.4464,36.0,0.15902641344684565,1.1041257367387034,1236.0,2.428290766208252,37.81,-122.28,1.021
1.1111,19.0,0.30689041444190185,1.173913043478261,721.0,3.483091787439613,37.81,-122.28,1.083
0.8026,23.0,0.2334448160535117,1.1507692307692308,1054.0,3.243076923076923,37.81,-122.29,1.125
2.0114,38.0,0.11612903225806452,1.135483870967742,344.0,2.2193548387096773,37.8,-122.28,1.313
1.5,17.0,0.18807246081823734,1.0,609.0,2.1072664359861597,37.81,-122.28,1.625
1.1667,52.0,0.07211538461538461,1.0,183.0,3.267857142857143,37.81,-122.27,1.125
1.5208,52.0,0.07515473032714412,1.1149425287356325,200.0,2.2988505747126435,37.81,-122.28,1.125
0.8075,52.0,0.047890818858560794,1.0580645161290323,346.0,2.232258064516129,37.81,-122.28,1.375
1.8088,35.0,0.1602704987320372,1.0887573964497042,467.0,2.763313609467456,37.81,-122.28,1.188
2.4083,52.0,0.12926421404682273,1.2434782608695651,377.0,3.2782608695652176,37.81,-122.28,0.982
0.977,40.0,0.05789473684210526,1.186842105263158,582.0,1.5315789473684212,37.81,-122.27,1.188
0.76,10.0,0.26515151515151514,1.0545454545454545,546.0,1.6545454545454543,37.81,-122.27,1.625
0.9722,10.0,0.2692307692307693,1.0769230769230769,125.0,3.2051282051282053,37.8,-122.27,1.375
2.0938,16.0,0.1716160220994475,1.0828729281767957,800.0,2.209944751381216,37.8,-122.27,1.625
0.8668,52.0,0.046984265734265736,0.9886363636363636,904.0,10.272727272727272,37.8,-122.28,1.375
0.75,52.0,0.05429864253393665,0.9117647058823528,191.0,5.617647058823529,37.8,-122.28,1.625
2.6354,27.0,0.12938435123865588,1.1490066225165565,718.0,2.377483443708609,37.79,-122.27,1.875
1.8477,39.0,0.09416350958106848,1.3340471092077089,1327.0,2.841541755888651,37.8,-122.27,1.792
2.0096,36.0,0.06372267661548764,1.066293585880327,3469.0,1.493327593628928,37.8,-122.26,1.3
2.8345,31.0,0.12564242755604155,1.1279661016949152,2048.0,1.735593220338983,37.82,-122.26,1.838
2.0062,29.0,0.1269420234937476,1.175824175824176,202.0,2.21978021978022,37.81,-122.26,1.25
1.2185,22.0,0.1338909090909091,1.016,2024.0,1.6192,37.82,-122.26,1.7
2.6104,37.0,0.10019305019305018,1.1071428571428572,1838.0,1.8755102040816327,37.82,-122.26,1.931
2.4912,29.0,0.12844137931034483,1.1312,2304.0,1.8432,37.81,-122.25,2.578
3.2177,28.0,0.13851512548907338,1.070808283233133,2563.0,1.7120908483633934,37.81,-122.25,2.734
3.125,39.0,0.09604138551506972,1.0614035087719298,389.0,1.706140350877193,37.81,-122.25,2.375
2.5795,52.0,0.067605722173422,1.1435562805872757,895.0,1.4600326264274062,37.81,-122.25,3.5
2.8406,34.0,0.09652122447637523,1.0698714365567357,2689.0,1.5030743432084963,37.81,-122.26,3.357
4.9306,52.0,0.1189312736443884,0.9221311475409836,674.0,2.762295081967213,37.82,-122.24,3.134
3.2727,52.0,0.08544197031039137,1.0570175438596492,709.0,1.5548245614035088,37.81,-122.24,2.685
3.1691,52.0,0.08011301494713817,1.0900473933649288,686.0,1.6255924170616114,37.81,-122.25,2.594
3.9,52.0,0.0932344118277266,1.0459610027855153,1444.0,2.011142061281337,37.82,-122.24,2.757
3.9063,28.0,0.14860171001068756,1.0660847880299251,1520.0,1.8952618453865335,37.82,-122.25,2.25
5.0917,52.0,0.10823958650045608,1.1422924901185771,550.0,2.1739130434782608,37.82,-122.25,2.625
2.6429,32.0,0.1164689334637965,1.0743639921722117,1806.0,1.7671232876712328,37.82,-122.25,2.185
3.0233,26.0,0.12511851336830795,0.9827444535743632,1749.0,1.4371405094494658,37.82,-122.25,2.55
3.1484,52.0,0.08803912850155625,1.0770712909441231,939.0,1.8092485549132948,37.83,-122.25,2.241
3.4722,35.0,0.1092078537576168,1.014218009478673,675.0,1.599526066350711,37.83,-122.25,2.431
3.1429,52.0,0.08452286545070051,0.986254295532646,534.0,1.8350515463917525,37.83,-122.25,2.316
2.4234,28.0,0.10798142255095898,1.053582179409994,2558.0,1.5400361228175798,37.83,-122.25,2.185
3.0897,52.0,0.0777019508938506,1.0655737704918034,1786.0,1.7222757955641272,37.83,-122.25,2.341
5.8596,50.0,0.13485254691689008,1.0697050938337802,970.0,2.6005361930294906,37.84,-122.23,3.276
5.2868,47.0,0.1392849309059004,0.936082474226804,1098.0,2.263917525773196,37.84,-122.23,3.476
5.956,41.0,0.16709911779968864,1.0797872340425532,794.0,2.1117021276595747,37.83,-122.24,3.661
4.9643,37.0,0.19206440483036227,1.148936170212766,98.0,2.0851063829787235,37.85,-122.24,3.35
6.3434,52.0,0.13361328497804925,1.01985111662531,1061.0,2.632754342431762,37.85,-122.23,3.736
5.1773,52.0,0.12227997227997228,1.0342342342342343,1177.0,2.120720720720721,37.84,-122.24,3.895
7.2354,52.0,0.13686858101027038,0.994550408719346,901.0,2.455040871934605,37.85,-122.24,3.911
5.457,28.0,0.19751195457262402,1.096234309623431,2031.0,2.1244769874476988,37.85,-122.22,3.373
7.5,50.0,0.12254697286012525,0.9874739039665972,1031.0,2.152400835073069,37.84,-122.22,2.952
6.0194,44.0,0.13034871326328612,1.0,1358.0,2.274706867671692,37.84,-122.21,2.923
7.5544,40.0,0.1907874617737003,1.0305810397553516,1616.0,2.470948012232416,37.83,-122.21,4.115
6.0666,30.0,0.21486880466472302,1.0087463556851313,844.0,2.4606413994169096,37.84,-122.2,3.115
7.0548,34.0,0.1801470588235294,0.9879032258064516,1140.0,2.298387096774193,37.84,-122.21,3.259
11.6017,18.0,0.4630584192439863,1.0824742268041236,533.0,2.747422680412371,37.84,-122.19,3.926
7.4882,35.0,0.18477910351499516,1.0383747178329572,1072.0,2.419864559819413,37.84,-122.2,3.193
6.8976,34.0,0.1944785747197051,1.0287206266318538,1627.0,2.1240208877284594,37.83,-122.21,3.333
8.2049,28.0,0.24924812030075189,0.968421052631579,463.0,2.4368421052631577,37.83,-122.19,3.352
8.401,26.0,0.2896463725847612,1.056872037914692,542.0,2.5687203791469195,37.83,-122.2,3.512
6.8538,29.0,0.22958595051916422,1.0074349442379182,661.0,2.45724907063197,37.83,-122.19,3.689
8.317,32.0,0.218037072243346,1.0038022813688212,635.0,2.414448669201521,37.82,-122.19,3.659
7.0175,37.0,0.18872850122850124,1.0284090909090908,420.0,2.386363636363636,37.82,-122.2,3.667
6.3302,39.0,0.19333333333333333,1.068,1265.0,2.53,37.82,-122.2,3.628
6.3624,30.0,0.18717948717948715,0.7307692307692307,126.0,2.423076923076923,37.81,-122.18,4.833
7.0549,52.0,0.1304945054945055,0.9514285714285714,813.0,2.322857142857143,37.82,-122.21,3.314
6.7851,45.0,0.15461658841940532,1.0234741784037558,1067.0,2.504694835680751,37.81,-122.2,3.235
2.8929,50.0,0.10264492753623188,1.0960144927536233,1260.0,2.282608695652174,37.8,-122.21,2.167
3.0812,38.0,0.12179833567491624,1.0985626283367556,951.0,1.9527720739219712,37.8,-122.21,2.331
5.2402,52.0,0.11924793956043955,0.9464285714285714,510.0,2.2767857142857144,37.81,-122.21,2.964
6.5217,52.0,0.12306443556443557,1.0876623376623376,765.0,2.4837662337662336,37.81,-122.22,2.737
3.2632,52.0,0.09126254180602007,1.0108695652173914,1129.0,2.4543478260869565,37.8,-122.22,2.277
3.0298,52.0,0.09968602825745683,1.0521541950113378,1073.0,2.433106575963719,37.8,-122.22,1.996
4.5428,52.0,0.10160567587752055,1.050485436893204,1185.0,2.300970873786408,37.8,-122.22,2.398
4.072,52.0,0.11447963800904978,0.9970588235294118,756.0,2.223529411764706,37.81,-122.22,2.701
5.3509,52.0,0.1086667650967075,1.0287907869481765,1034.0,1.9846449136276392,37.81,-122.22,3.021
3.1603,52.0,0.08517680576504105,1.0588235294117647,787.0,1.7145969498910676,37.8,-122.23,2.695
4.7708,52.0,0.129378837125316,1.0751173708920188,612.0,2.8732394366197185,37.81,-122.23,3.147
8.1564,52.0,0.14812753036437246,1.0578947368421052,1021.0,2.6868421052631577,37.81,-122.22,3.901
8.8793,52.0,0.17255515802027432,1.131782945736434,861.0,3.3372093023255816,37.81,-122.23,4.103
6.8591,52.0,0.1461420842154787,0.9571865443425076,953.0,2.914373088685015,37.81,-122.24,3.524
6.0302,52.0,0.11192908653846154,0.9296875,634.0,2.4765625,37.81,-122.24,2.873
7.508,52.0,0.1537368881118881,1.036931818181818,878.0,2.4943181818181817,37.81,-122.23,3.487
2.7477,52.0,0.08333333333333333,1.1387163561076603,918.0,1.9006211180124224,37.81,-122.24,2.438
2.1944,52.0,0.09758241758241758,0.96,360.0,2.057142857142857,37.8,-122.24,2.115
3.0149,52.0,0.08224306431273645,1.0450819672131149,1197.0,2.4528688524590163,37.8,-122.25,2.184
3.675,52.0,0.09329521829521831,0.9691119691119692,1048.0,2.023166023166023,37.81,-122.24,2.699
3.225,46.0,0.09405738897619463,1.1178045515394912,1373.0,1.8380187416331997,37.81,-122.25,2.188
2.9345,42.0,0.0966455547736336,1.0492610837438423,1715.0,1.6896551724137931,37.8,-122.25,2.25
2.1429,43.0,0.07614507504992592,1.0969529085872576,1359.0,1.882271468144044,37.8,-122.25,2.5
1.6121,41.0,0.08687178881474045,1.1355932203389831,1062.0,2.571428571428572,37.8,-122.25,1.714
1.3929,29.0,0.1100950171744658,1.1177231565329884,1335.0,1.7270375161707632,37.8,-122.25,1.938
2.3173,27.0,0.1408961408961409,1.1468531468531469,1171.0,2.729603729603729,37.79,-122.24,1.25
1.7772,45.0,0.08628019323671497,1.1434782608695653,1475.0,3.2065217391304346,37.79,-122.25,0.975
2.6458,50.0,0.06418367346938776,0.9591836734693876,742.0,3.7857142857142856,37.79,-122.25,1.25
2.181,52.0,0.07093663911845731,1.0771349862258952,1086.0,2.9917355371900825,37.79,-122.25,1.388
2.2303,36.0,0.08583998363003888,1.1160220994475138,1645.0,3.029465930018416,37.8,-122.25,1.167
1.6504,43.0,0.08464538494872165,1.0046583850931676,1710.0,2.6552795031055902,37.8,-122.25,1.518
2.2697,52.0,0.0840080971659919,1.0,731.0,3.206140350877193,37.8,-122.24,1.27
2.1563,52.0,0.08817335402349812,1.07492795389049,1118.0,3.2219020172910664,37.8,-122.24,1.286
2.1348,52.0,0.09104477611940301,1.1880597014925374,1006.0,3.002985074626866,37.8,-122.24,1.406
2.6292,47.0,0.07857746370688994,1.0613718411552346,1213.0,2.1895306859205776,37.8,-122.24,1.827
2.3833,52.0,0.08919485184076624,1.1245136186770428,772.0,3.0038910505836576,37.8,-122.23,1.469
2.957,52.0,0.08646652599271053,1.0473815461346634,1321.0,3.29426433915212,37.8,-122.24,1.228
2.5238,49.0,0.08555150272812226,1.106351550960118,1487.0,2.1964549483013296,37.8,-122.24,1.693
1.9375,52.0,0.08095533498759305,0.989247311827957,488.0,2.6236559139784945,37.8,-122.23,1.266
1.9028,51.0,0.07953181272509005,1.0561224489795915,949.0,2.420918367346939,37.8,-122.23,1.279
2.25,50.0,0.084144578313253,1.1566265060240963,1149.0,2.7686746987951807,37.8,-122.23,1.235
2.3929,52.0,0.085989010989011,1.0678571428571428,844.0,3.0142857142857142,37.8,-122.23,1.119
2.1917,43.0,0.11265184289573611,1.091795288383428,4367.0,3.547522339561332,37.79,-122.23,1.128
2.9357,52.0,0.0832244212098581,0.95873786407767,1659.0,4.026699029126213,37.79,-122.23,1.079
1.8854,30.0,0.12661596958174906,1.0038022813688212,1011.0,3.844106463878327,37.79,-122.23,1.375
2.1638,39.0,0.09682947729220223,1.1079691516709511,1464.0,3.763496143958869,37.79,-122.24,1.055
2.125,47.0,0.09634154904852188,1.3036303630363035,1237.0,4.082508250825082,37.79,-122.24,0.955
3.375,52.0,0.07715201465201466,1.0714285714285714,647.0,3.851190476190476,37.79,-122.24,1.161
2.2542,43.0,0.10592143834277896,1.0532212885154062,1284.0,3.596638655462185,37.79,-122.24,1.122
2.1,51.0,0.062388591800356503,0.7818181818181819,228.0,4.1454545454545455,37.79,-122.25,0.75
1.6,39.0,0.09610173024807171,1.048780487804878,381.0,3.097560975609756,37.79,-122.25,1.125
3.625,52.0,0.07641477465266011,1.0440528634361232,846.0,3.7268722466960353,37.79,-122.25,1.25
1.6929,20.0,0.17551775147928994,1.1523668639053255,1659.0,2.45414201183432,37.8,-122.26,1.15
1.6471,52.0,0.05448717948717948,0.927536231884058,520.0,3.768115942028986,37.77,-122.22,0.95
2.59,52.0,0.08442233442233442,1.162162162162162,866.0,3.343629343629344,37.77,-122.22,0.964
2.57,52.0,0.08081126523749474,1.1256830601092895,612.0,3.344262295081968,37.77,-122.23,0.72
2.6429,52.0,0.07203907203907203,1.1587301587301588,415.0,3.293650793650793,37.78,-122.23,0.713
3.0257,52.0,0.077825929938606,1.0093896713615025,994.0,4.666666666666667,37.78,-122.23,0.808
1.4886,50.0,0.08050314465408805,1.1111111111111112,1525.0,3.19706498951782,37.78,-122.22,1.288
1.9338,43.0,0.0753955612190719,1.0776255707762556,1506.0,3.4383561643835616,37.78,-122.23,1.125
1.4844,52.0,0.07435897435897434,1.011764705882353,1008.0,3.952941176470589,37.78,-122.23,1.194
1.6009,44.0,0.07081467134729452,1.0985352862849531,2813.0,3.745672436750999,37.78,-122.23,1.181
2.0375,48.0,0.10301263362487852,1.154518950437318,1481.0,4.317784256559767,37.79,-122.23,1.225
2.293,49.0,0.10949585313577485,0.9908675799086758,859.0,3.922374429223744,37.79,-122.23,1.063
2.1494,37.0,0.12107901400444422,1.0975143403441685,1608.0,3.074569789674952,37.79,-122.22,1.325
1.6198,30.0,0.14523809523809522,1.0357142857142858,425.0,3.0357142857142856,37.79,-122.23,1.227
1.3281,40.0,0.1263586956521739,1.0815217391304348,564.0,3.065217391304348,37.79,-122.23,1.133
3.5156,44.0,0.12424799465240642,1.1544117647058822,961.0,3.5330882352941178,37.79,-122.22,1.095
3.9048,52.0,0.0961257720381808,1.0072992700729928,2273.0,3.318248175182482,37.79,-122.22,1.647
3.0893,52.0,0.07514792899408285,0.9743589743589745,600.0,3.076923076923077,37.79,-122.21,1.25
2.6042,46.0,0.09759920798613975,1.0910815939278935,1647.0,3.1252371916508537,37.79,-122.22,1.247
2.5,49.0,0.08788987293030419,1.0613207547169812,1201.0,2.832547169811321,37.79,-122.22,1.367
2.7969,38.0,0.12175545084258446,1.078907435508346,2167.0,3.288315629742033,37.79,-122.22,1.417
2.8321,29.0,0.1663286004056795,1.1058823529411763,939.0,2.761764705882353,37.79,-122.2,1.5
2.9583,47.0,0.11243077819877587,1.0513698630136987,859.0,2.941780821917808,37.79,-122.21,1.388
2.8365,34.0,0.1347469220246238,1.0794573643410852,1517.0,2.939922480620155,37.79,-122.21,1.392
2.875,35.0,0.12916358253145818,1.0595854922279793,1143.0,2.961139896373057,37.79,-122.21,1.438
3.0682,39.0,0.11068744473916887,1.0775862068965518,1109.0,2.390086206896552,37.8,-122.21,1.565
3.0757,39.0,0.11601701736230884,1.0022421524663676,1221.0,2.7376681614349776,37.8,-122.21,1.51
4.9559,43.0,0.1556350626118068,1.0967032967032968,1115.0,2.4505494505494507,37.8,-122.2,2.73
4.7721,52.0,0.11100746268656717,1.0932835820895523,706.0,2.6343283582089554,37.8,-122.2,2.171
3.4861,52.0,0.09585421660492482,1.0070821529745042,1883.0,2.6671388101983005,37.8,-122.21,1.871
5.1184,41.0,0.148493543758967,1.0411764705882354,804.0,2.364705882352941,37.8,-122.2,2.396
4.0977,48.0,0.10920965608465609,1.0436507936507935,506.0,2.007936507936508,37.8,-122.21,2.297
4.744,48.0,0.1482843137254902,1.088235294117647,610.0,2.563025210084034,37.8,-122.19,2.573
4.2727,46.0,0.12689889994761655,1.0271084337349397,768.0,2.3132530120481927,37.8,-122.19,2.469
2.9844,50.0,0.10521739130434783,1.059782608695652,462.0,2.510869565217391,37.79,-122.19,1.799
4.1739,40.0,0.1127659574468085,1.0893617021276596,667.0,2.838297872340425,37.79,-122.2,1.696
3.8487,46.0,0.11120191783807344,1.0150375939849623,1059.0,2.654135338345865,37.8,-122.2,2.033
4.0114,52.0,0.12586781449597334,0.9783393501805054,637.0,2.299638989169675,37.8,-122.19,2.634
4.6563,45.0,0.1330396475770925,0.9933920704845814,1106.0,2.436123348017621,37.79,-122.19,2.318
2.9297,28.0,0.16784112748238308,1.1375186846038865,1737.0,2.596412556053812,37.79,-122.19,1.405
2.3036,35.0,0.132014652014652,1.176923076923077,1009.0,2.5871794871794878,37.79,-122.2,1.26
2.6667,49.0,0.08571428571428572,0.9285714285714286,737.0,3.509523809523809,37.79,-122.2,1.22
2.619,44.0,0.07503240140714683,0.920570264765784,1354.0,2.757637474541752,37.79,-122.2,1.347
2.4167,45.0,0.09915611814345991,1.1244725738396624,1530.0,3.2278481012658227,37.79,-122.21,1.394
2.7788,45.0,0.09356481481481481,1.1,1410.0,2.9375,37.79,-122.2,1.154
2.7352,46.0,0.08554290517307252,0.8927943760984183,1390.0,2.4428822495606326,37.78,-122.21,1.373
1.8472,52.0,0.10559050614812697,1.1152416356877324,1065.0,3.95910780669145,37.78,-122.21,1.37
2.6583,52.0,0.08288854003139717,0.9142857142857144,792.0,3.23265306122449,37.78,-122.21,1.426
3.0536,49.0,0.0748021657642649,0.9959183673469388,779.0,3.179591836734694,37.78,-122.21,1.375
2.3906,44.0,0.11058122205663189,1.1639344262295082,2269.0,3.719672131147541,37.78,-122.22,1.117
1.7188,43.0,0.09725158562367864,1.1302211302211302,1227.0,3.0147420147420148,37.78,-122.21,1.268
2.625,47.0,0.07777875871810716,1.0290456431535269,753.0,3.12448132780083,37.78,-122.21,1.113
2.8015,40.0,0.09148148148148147,0.8444444444444444,547.0,4.051851851851852,37.77,-122.22,1.148
1.7276,50.0,0.08072727272727272,1.075,1807.0,4.1068181818181815,37.78,-122.22,1.023
2.0801,44.0,0.07704315886134068,1.0383838383838384,1700.0,3.4343434343434343,37.78,-122.22,1.319
2.489,51.0,0.0816744000399142,1.178117048346056,1543.0,3.926208651399491,37.78,-122.22,1.191
1.7546,52.0,0.09102564102564102,1.0466666666666666,1085.0,3.6166666666666663,37.76,-122.21,0.806
4.0904,52.0,0.08295901179112858,1.2627737226277371,353.0,2.576642335766423,37.77,-122.21,0.806
2.6765,52.0,0.09615384615384616,1.0268456375838926,473.0,3.174496644295302,37.77,-122.21,0.888
2.4338,49.0,0.09599864790636752,1.031055900621118,1621.0,3.3561076604554865,37.77,-122.2,1.024
2.3309,46.0,0.07577990665684106,1.0593220338983051,1183.0,3.34180790960452,37.77,-122.21,0.987
2.2604,43.0,0.08538325917219376,1.184115523465704,836.0,3.0180505415162453,37.77,-122.21,1.0
1.8039,42.0,0.08437443418432011,0.9657794676806084,900.0,3.4220532319391634,37.77,-122.19,0.923
2.2562,39.0,0.12839612280953064,1.111731843575419,1888.0,3.515828677839851,37.77,-122.2,0.948
2.0562,41.0,0.11065016808525857,1.217008797653959,1024.0,3.002932551319648,37.77,-122.2,1.02
3.5398,52.0,0.10456446626659394,1.0472813238770686,1225.0,2.895981087470449,37.78,-122.2,1.584
3.1167,39.0,0.11947626841243864,1.0611702127659577,1071.0,2.848404255319149,37.78,-122.2,1.216
2.5401,50.0,0.09878306878306878,1.066137566137566,1128.0,2.984126984126984,37.78,-122.2,1.291
2.898,43.0,0.11675956179127427,1.037190082644628,1537.0,3.175619834710744,37.77,-122.2,1.214
2.3125,44.0,0.0999884339578996,1.0534351145038168,1240.0,3.1552162849872776,37.78,-122.21,1.028
2.875,52.0,0.11744505494505494,1.0714285714285714,469.0,2.7916666666666665,37.78,-122.19,1.6
3.3715,52.0,0.09819004524886878,1.0070588235294118,1086.0,2.5552941176470587,37.77,-122.19,1.439
